Ticker;Date;Field Name;Value
WORK;19-02-21;Volume;6419100
WORK;22-02-21;Volume;3501500
WORK;23-02-21;Volume;5171500
WORK;24-02-21;Volume;6565300
WORK;25-02-21;Volume;8744800
WORK;26-02-21;Volume;12436900
WORK;01-03-21;Volume;6946700
WORK;02-03-21;Volume;4006500
WORK;03-03-21;Volume;5607500
WORK;04-03-21;Volume;8319400
WORK;05-03-21;Volume;6107400
WORK;08-03-21;Volume;10471500
WORK;09-03-21;Volume;6150200
WORK;10-03-21;Volume;6856100
WORK;11-03-21;Volume;7864200
WORK;12-03-21;Volume;2604300
WORK;15-03-21;Volume;10119600
WORK;16-03-21;Volume;6477600
WORK;17-03-21;Volume;4609200
WORK;18-03-21;Volume;8515700
WORK;19-03-21;Volume;14032900
WORK;22-03-21;Volume;5723400
WORK;23-03-21;Volume;2999600
WORK;24-03-21;Volume;4064300
WORK;25-03-21;Volume;4633500
WORK;26-03-21;Volume;4348200
WORK;29-03-21;Volume;3698800
WORK;30-03-21;Volume;2953400
WORK;31-03-21;Volume;3990200
WORK;01-04-21;Volume;4643500
WORK;05-04-21;Volume;3317400
WORK;06-04-21;Volume;3973800
WORK;07-04-21;Volume;2227800
WORK;08-04-21;Volume;7520600
WORK;09-04-21;Volume;3866200
WORK;12-04-21;Volume;4507300
WORK;13-04-21;Volume;3480700
WORK;14-04-21;Volume;6646200
WORK;15-04-21;Volume;5437400
WORK;16-04-21;Volume;6288700
WORK;19-04-21;Volume;3988500
WORK;20-04-21;Volume;4169400
WORK;21-04-21;Volume;3083800
WORK;22-04-21;Volume;2578400
WORK;23-04-21;Volume;3344900
WORK;26-04-21;Volume;2645500
WORK;27-04-21;Volume;3269300
WORK;28-04-21;Volume;4208400
WORK;29-04-21;Volume;3189700
WORK;30-04-21;Volume;5117000
