Ticker;Date;Field Name;Value;;;;;;
AMZN;25-02-21;Close Price;3057,159912;;;;;;
AMZN;26-02-21;Close Price;3092,929932;;;;;;
AMZN;01-03-21;Close Price;3146,139893;;;;;;
AMZN;02-03-21;Close Price;3094,530029;;;;;;
AMZN;03-03-21;Close Price;3005;;;;;;
AMZN;04-03-21;Close Price;2977,570068;;;;;;
AMZN;05-03-21;Close Price;3000,459961;;;;;;
AMZN;08-03-21;Close Price;2951,949951;;;;;;
AMZN;09-03-21;Close Price;3062,850098;;;;;;
AMZN;10-03-21;Close Price;3057,639893;;;;;;
AMZN;11-03-21;Close Price;3113,590088;;;;;;
AMZN;12-03-21;Close Price;3089,48999;;;;;;
AMZN;15-03-21;Close Price;3081,679932;;;;;;
AMZN;16-03-21;Close Price;3091,860107;;;;;;
AMZN;17-03-21;Close Price;3135,72998;;;;;;
AMZN;18-03-21;Close Price;3027,98999;;;;;;
AMZN;19-03-21;Close Price;3074,959961;;;;;;
AMZN;22-03-21;Close Price;3110,870117;;;;;;
AMZN;23-03-21;Close Price;3137,5;;;;;;
AMZN;24-03-21;Close Price;3087,070068;;;;;;
AMZN;25-03-21;Close Price;3046,26001;;;;;;
AMZN;26-03-21;Close Price;3052,030029;;;;;;
AMZN;29-03-21;Close Price;3075,72998;;;;;;
AMZN;30-03-21;Close Price;3055,290039;;;;;;
AMZN;31-03-21;Close Price;3094,080078;;;;;;
AMZN;01-04-21;Close Price;3161;;;;;;
AMZN;05-04-21;Close Price;3226,72998;;;;;;
AMZN;06-04-21;Close Price;3223,820068;;;;;;
AMZN;07-04-21;Close Price;3279,389893;;;;;;
AMZN;08-04-21;Close Price;3299,300049;;;;;;
AMZN;09-04-21;Close Price;3372,199951;;;;;;
AMZN;04-01-21;Volume;4411400;;;;;;
AMZN;05-01-21;Volume;2655500;;;;;;
AMZN;06-01-21;Volume;4394800;;;;;;
AMZN;07-01-21;Volume;3514500;;;;;;
AMZN;08-01-21;Volume;3537700;;;;;;
AMZN;11-01-21;Volume;3683400;;;;;;
AMZN;12-01-21;Volume;3514600;;;;;;
AMZN;13-01-21;Volume;3321200;;;;;;
AMZN;14-01-21;Volume;3070900;;;;;;
AMZN;15-01-21;Volume;4244000;;;;;;
AMZN;19-01-21;Volume;3305100;;;;;;
AMZN;20-01-21;Volume;5309800;;;;;;
AMZN;21-01-21;Volume;4936100;;;;;;
AMZN;22-01-21;Volume;2821900;;;;;;
AMZN;25-01-21;Volume;3749800;;;;;;
AMZN;26-01-21;Volume;2955200;;;;;;
AMZN;27-01-21;Volume;4660200;;;;;;
AMZN;28-01-21;Volume;3149200;;;;;;
AMZN;29-01-21;Volume;4293600;;;;;;
AMZN;01-02-21;Volume;4160200;;;;;;
AMZN;02-02-21;Volume;7098600;;;;;;
AMZN;03-02-21;Volume;7088800;;;;;;
AMZN;04-02-21;Volume;3670700;;;;;;
AMZN;05-02-21;Volume;3620800;;;;;;
AMZN;08-02-21;Volume;3257400;;;;;;
AMZN;09-02-21;Volume;2203500;;;;;;
AMZN;10-02-21;Volume;3151600;;;;;;
AMZN;11-02-21;Volume;2301400;;;;;;
AMZN;12-02-21;Volume;2335300;;;;;;
AMZN;16-02-21;Volume;2574700;;;;;;
AMZN;17-02-21;Volume;3297500;;;;;;
AMZN;18-02-21;Volume;3027400;;;;;;
AMZN;19-02-21;Volume;4305200;;;;;;
AMZN;22-02-21;Volume;3515700;;;;;;
AMZN;23-02-21;Volume;4677200;;;;;;
AMZN;24-02-21;Volume;3011300;;;;;;
AMZN;25-02-21;Volume;4533800;;;;;;
AMZN;26-02-21;Volume;4273500;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
