Ticker;Date;Field Name;Value
TSLA;23-07-20;Volume;121642500
TSLA;24-07-20;Volume;96983000
TSLA;27-07-20;Volume;80243500
TSLA;28-07-20;Volume;79043500
TSLA;29-07-20;Volume;47134500
TSLA;30-07-20;Volume;38105000
TSLA;31-07-20;Volume;61041000
TSLA;03-08-20;Volume;44046500
TSLA;04-08-20;Volume;42075000
TSLA;05-08-20;Volume;24739000
TSLA;06-08-20;Volume;29961500
TSLA;07-08-20;Volume;44482000
TSLA;10-08-20;Volume;37611500
TSLA;11-08-20;Volume;43129000
TSLA;12-08-20;Volume;109147000
TSLA;13-08-20;Volume;102126500
TSLA;14-08-20;Volume;62888000
TSLA;17-08-20;Volume;101211500
TSLA;18-08-20;Volume;82372500
TSLA;19-08-20;Volume;61026500
TSLA;20-08-20;Volume;103059000
TSLA;21-08-20;Volume;107448000
TSLA;24-08-20;Volume;100318000
TSLA;25-08-20;Volume;53294500
TSLA;26-08-20;Volume;71197000
TSLA;27-08-20;Volume;118465000
TSLA;28-08-20;Volume;100406000
TSLA;31-08-20;Volume;118374400
TSLA;01-09-20;Volume;89841100
TSLA;02-09-20;Volume;96176100
TSLA;03-09-20;Volume;87596100
TSLA;04-09-20;Volume;110321900
TSLA;08-09-20;Volume;115465700
TSLA;09-09-20;Volume;79465800
TSLA;10-09-20;Volume;84930600
TSLA;11-09-20;Volume;60717500
TSLA;14-09-20;Volume;83020600
TSLA;15-09-20;Volume;97298200
TSLA;16-09-20;Volume;72279300
TSLA;17-09-20;Volume;76779200
TSLA;18-09-20;Volume;86406800
TSLA;21-09-20;Volume;109476800
TSLA;22-09-20;Volume;79580800
TSLA;23-09-20;Volume;95074200
TSLA;24-09-20;Volume;96561100
TSLA;25-09-20;Volume;67208500
TSLA;28-09-20;Volume;49719600
TSLA;29-09-20;Volume;50219300
TSLA;30-09-20;Volume;48145600
TSLA;01-10-20;Volume;50741500
TSLA;02-10-20;Volume;71430000
TSLA;05-10-20;Volume;44722800
TSLA;06-10-20;Volume;49146300
TSLA;07-10-20;Volume;43127700
TSLA;08-10-20;Volume;40421100
TSLA;09-10-20;Volume;28925700
TSLA;12-10-20;Volume;38791100
TSLA;13-10-20;Volume;34463700
TSLA;14-10-20;Volume;47879700
TSLA;15-10-20;Volume;35672400
TSLA;16-10-20;Volume;32775900
TSLA;19-10-20;Volume;36287800
TSLA;20-10-20;Volume;31656300
TSLA;21-10-20;Volume;32370500
TSLA;22-10-20;Volume;39993200
TSLA;23-10-20;Volume;33717000
TSLA;26-10-20;Volume;28239200
TSLA;27-10-20;Volume;22686500
TSLA;28-10-20;Volume;25451400
TSLA;29-10-20;Volume;22655300
TSLA;30-10-20;Volume;42511300
TSLA;02-11-20;Volume;29021100
TSLA;03-11-20;Volume;34351700
TSLA;04-11-20;Volume;32143100
TSLA;05-11-20;Volume;28414500
TSLA;06-11-20;Volume;21706000
TSLA;09-11-20;Volume;34833000
TSLA;10-11-20;Volume;30284200
TSLA;11-11-20;Volume;17357700
TSLA;12-11-20;Volume;19855100
TSLA;13-11-20;Volume;19771100
TSLA;16-11-20;Volume;26838600
TSLA;17-11-20;Volume;61188300
TSLA;18-11-20;Volume;78044000
TSLA;19-11-20;Volume;62475300
TSLA;20-11-20;Volume;32911900
TSLA;23-11-20;Volume;50260300
TSLA;24-11-20;Volume;53648500
TSLA;25-11-20;Volume;48930200
TSLA;27-11-20;Volume;37561100
TSLA;30-11-20;Volume;63003100
TSLA;01-12-20;Volume;40103500
TSLA;02-12-20;Volume;47775700
TSLA;03-12-20;Volume;42552000
TSLA;04-12-20;Volume;29401300
TSLA;07-12-20;Volume;56309700
TSLA;08-12-20;Volume;64265000
TSLA;09-12-20;Volume;71291200
TSLA;10-12-20;Volume;67083200
TSLA;11-12-20;Volume;46475000
TSLA;14-12-20;Volume;52040600
TSLA;15-12-20;Volume;45071500
TSLA;16-12-20;Volume;42095800
TSLA;17-12-20;Volume;56270100
TSLA;18-12-20;Volume;222126200
TSLA;21-12-20;Volume;58045300
TSLA;22-12-20;Volume;51716000
TSLA;23-12-20;Volume;33173000
TSLA;24-12-20;Volume;22865600
TSLA;28-12-20;Volume;32278600
TSLA;29-12-20;Volume;22910800
TSLA;30-12-20;Volume;42846000
TSLA;31-12-20;Volume;49649900
TSLA;04-01-21;Volume;48638200
TSLA;05-01-21;Volume;32245200
TSLA;06-01-21;Volume;44700000
TSLA;07-01-21;Volume;51498900
TSLA;08-01-21;Volume;75055500
TSLA;11-01-21;Volume;59301600
TSLA;12-01-21;Volume;46270700
TSLA;13-01-21;Volume;33312500
TSLA;14-01-21;Volume;31266300
TSLA;15-01-21;Volume;38777600
TSLA;19-01-21;Volume;25367000
TSLA;20-01-21;Volume;25665900
TSLA;21-01-21;Volume;20521100
TSLA;22-01-21;Volume;20066500
TSLA;25-01-21;Volume;41173400
TSLA;26-01-21;Volume;23131600
TSLA;27-01-21;Volume;27334000
TSLA;28-01-21;Volume;26378000
TSLA;29-01-21;Volume;34990800
TSLA;01-02-21;Volume;25391400
TSLA;02-02-21;Volume;24346200
TSLA;03-02-21;Volume;18343500
TSLA;04-02-21;Volume;15812700
TSLA;05-02-21;Volume;18566600
TSLA;08-02-21;Volume;20161700
TSLA;09-02-21;Volume;15157700
TSLA;10-02-21;Volume;36216100
